word,freq
the,714
of,434
and,340
to,287
in,253
we,215
for,184
is,143
that,140
changes,123
as,119
fix,113
bug,104
are,97
on,96
this,89
or,81
with,77
our,73
by,66
code,65
have,62
number,61
from,60
cvs,60
be,59
inducing,56
it,51
was,50
figure,49
which,48
change,44
not,44
student,42
grade,42
all,41
students,40
features,40
function,40
if,39
software,39
functions,39
were,39
between,39
each,38
type,38
information,37
been,37
can,37
12,36
program,36
these,36
tool,34
versions,34
two,34
has,34
an,33
used,31
how,31
fixes,30
transactions,30
feature,29
they,29
report,28
one,28
do,27
well,27
total,27
version,27
data,26
grades,26
third,26
20,26
variables,25
same,25
their,25
time,25
eclipse,24
10,24
work,24
analysis,24
class,24
more,24
ast,24
confidence,23
such,23
results,23
database,22
global,22
variable,22
fixed,22
file,22
may,22
11,21
project,21
mutual,21
repositories,21
approach,21
into,21
lines,21
types,21
when,21
mozilla,21
bugzilla,21
repository,20
than,20
links,20
at,20
link,20
semantic,20
01,20
files,19
syntactic,19
bugs,19
no,19
but,18
changed,18
out,18
deletions,18
name,17
based,17
would,17
line,17
also,17
final,17
matching,17
will,17
int,17
significant,17
python,17
openssh,17
log,17
only,17
level,17
23,16
source,16
additions,16
using,16
size,16
vsftpd,16
programs,16
apache,16
first,16
both,16
top,16
system,15
there,15
order,15
30,15
bottom,14
2004,14
applied,14
03,14
over,14
who,14
written,14
struct,14
dsu,14
some,14
performance,14
other,14
later,14
40,13
re,13
set,13
renamings,13
05,13
localnamemap,13
revision,13
new,13
pairs,13
suspect,13
use,13
18,13
about,13
transaction,13
high,13
table,13
course,12
show,12
habits,12
statistics,12
so,12
16,12
fk,12
single,12
60,12
14,12
while,12
could,12
shows,12
average,12
many,12
see,12
day,12
globalnamemap,11
reported,11
100,11
different,11
running,11
names,11
50,11
because,11
following,11
21,11
section,11
assignments,11
match,11
low,11
found,11
ra,11
17,11
space,11
them,11
times,11
evolution,11
projects,11
example,11
like,11
foo,11
quality,10
any,10
three,10
detect,10
had,10
abstract,10
did,10
most,10
week,10
normalized,10
added,10
diff,10
international,10
fields,10
then,10
linux,10
thus,10
definitions,10
its,10
contains,10
identify,10
revisions,10
does,10
those,10
history,9
levels,9
per,9
22,9
26,9
present,9
copies,9
us,9
local,9
computer,9
ing,9
whose,9
syn,9
small,9
syntax,9
second,9
25,9
algorithm,9
error,9
y1,9
simple,9
even,9
however,9
comment,9
70,9
include,9
y2,9
conference,9
message,9
large,9
where,9
statistically,9
very,9
archive,9
maps,9
deleted,9
able,8
find,8
typemap,8
body,8
effects,8
consider,8
zero,8
pages,8
rb,8
particular,8
java,8
80,8
2005,8
equal,8
after,8
x1,8
tree,8
several,8
form,8
t1,8
engineering,8
made,8
locate,8
200,8
techniques,8
pmd,8
comments,8
2003,7
working,7
across,7
count,7
19,7
bodies,7
msr,7
what,7
similar,7
archives,7
cs,7
trees,7
above,7
prototypes,7
tion,7
cannot,7
science,7
various,7
long,7
sb,7
need,7
properties,7
complete,7
correlation,7
quantitative,7
lifetime,7
asts,7
02,7
00,7
developers,7
control,7
release,7
axis,7
output,7
renamed,7
assignment,7
http,7
proc,7
user,7
summary,7
ubranic,7
without,7
cumulative,6
test,6
identifying,6
400,6
random,6
induce,6
trans,6
extracted,6
likely,6
hard,6
partial,6
given,6
examined,6
plots,6
presents,6
whether,6
binary,6
90,6
permission,6
systems,6
problem,6
description,6
up,6
higher,6
short,6
distribution,6
53784,6
37,6
every,6
determine,6
13,6
ieee,6
parsing,6
finally,6
understanding,6
problems,6
x2,6
last,6
de,6
finding,6
murphy,6
conclusion,6
help,6
references,6
t2,6
addition,6
common,6
being,6
check,6
42233,6
r1,6
mining,6
paper,6
university,6
version1,6
specific,6
bar,6
almost,6
say,6
frequency,6
pair,6
enough,6
histories,6
acm,6
bijection,6
pro,6
29,6
com,6
value,6
group,6
version2,6
mentioned,6
analyzing,6
comma,6
fee,6
identical,6
renaming,5
measure,5
adding,5
semantics,5
experiments,5
mismatch,5
provided,5
algorithms,5
73,5
design,5
require,5
union,5
versus,5
classes,5
future,5
closed,5
indicates,5
process,5
introduce,5
measures,5
weak,5
166,5
bind,5
estimate,5
provides,5
earlier,5
marked,5
indicated,5
procedure,5
instance,5
old,5
mea,5
contain,5
strong,5
questions,5
characters,5
joint,5
avoid,5
net,5
32,5
export,5
fact,5
here,5
correlate,5
modifications,5
variety,5
relationship,5
39,5
implementation,5
related,5
reports,5
notice,5
take,5
density,5
viewcvs,5
assigned,5
either,5
vari,5
42,5
missing,5
exists,5
tions,5
early,5
formance,5
rather,5
values,5
rcs,5
position,5
counter,5
graph,5
get,5
r2,5
part,5
case,5
update,5
none,5
updating,5
automatically,5
encounter,5
since,5
write,5
potential,5
www,5
successive,5
complex,5
created,5
dynamic,5
proceedings,5
45,4
likelihood,4
discretized,4
differences,4
further,4
bayes,4
once,4
drawn,4
implementing,4
naive,4
examples,4
location,4
structurally,4
tu,4
bear,4
nearest,4
analyze,4
previously,4
logistic,4
15,4
ed,4
although,4
event,4
pinzger,4
parser,4
confirmed,4
suggest,4
baker,4
additionally,4
ast1,4
patterns,4
dead,4
61,4
full,4
seconds,4
else,4
maintenance,4
mean,4
gall,4
described,4
though,4
04,4
training,4
deletion,4
regular,4
ap,4
zeller,4
500,4
indicative,4
advantage,4
represents,4
certain,4
care,4
interested,4
command,4
safe,4
far,4
al,4
open,4
until,4
numbers,4
fridays,4
num,4
presented,4
around,4
ast2,4
programmers,4
predictor,4
gives,4
sem,4
exam,4
ex,4
general,4
loo,4
updated,4
individual,4
detected,4
expression,4
tend,4
47,4
yang,4
resolved,4
69,4
usa,4
transformer,4
should,4
stored,4
little,4
2000,4
developed,4
delete,4
refer,4
visual,4
indicators,4
generated,4
behaviour,4
categories,4
placed,4
600,4
es,4
details,4
make,4
followed,4
databases,4
eick,4
dis,4
prototype,4
account,4
measured,4
predict,4
always,4
multiple,4
violations,4
directly,4
investigated,4
baz,4
org,4
matches,4
relatively,4
basic,4
close,4
dec,4
current,4
difference,4
accurately,4
add,4
don,4
800,4
classify,4
jar,4
past,4
reasons,4
