word,freq
the,249
of,165
to,137
and,121
in,115
we,80
for,55
on,52
is,44
that,41
software,38
students,36
code,36
are,32
tests,30
by,30
as,28
with,27
this,25
have,24
be,24
or,23
test,22
our,22
results,22
student,21
not,21
from,21
which,21
project,20
line,19
each,19
version,19
an,19
data,18
information,18
work,18
can,18
analysis,18
2004,17
warnings,17
change,17
release,17
about,17
source,16
system,16
between,16
proceedings,16
snapshots,15
computer,15
science,15
snapshot,15
evolution,15
lines,15
unique,15
cvs,15
systems,14
it,13
changes,13
these,13
static,12
based,12
different,12
programming,12
versions,12
detectors,12
marmoset,12
at,12
their,12
testing,11
conference,11
acm,11
http,11
during,11
product,11
number,10
such,10
also,10
international,10
file,10
projects,10
more,10
other,10
2003,9
course,9
than,9
history,9
but,9
grading,9
warning,9
they,9
submission,9
bug,9
unit,9
org,9
some,9
any,8
using,8
11,8
exceptions,8
eclipse,8
related,8
correlation,8
first,8
findbugs,8
part,8
one,8
support,7
database,7
allows,7
if,7
do,7
run,7
public,7
mining,7
press,7
detection,7
large,7
were,7
coupling,7
no,7
many,7
variants,7
workshop,6
faults,6
12,6
defect,6
1997,6
would,6
junit,6
recursive,6
two,6
exception,6
tools,6
10,6
al,6
et,6
out,6
net,6
object,6
small,6
found,6
2005,6
schema,6
ex,6
education,6
how,6
occurs,6
webpage,6
flow,6
written,6
easily,6
use,6
make,6
pp,6
into,6
consortium,6
family,6
possible,6
may,6
cases,6
infinite,6
used,5
program,5
hard,5
want,5
applications,5
map,5
symposium,5
present,5
us,5
track,5
oriented,5
checkstyle,5
failed,5
has,5
additional,5
selected,5
files,5
october,5
modified,5
there,5
experience,5
them,5
even,5
will,5
paper,5
while,5
generated,5
approach,5
class,5
control,5
pugh,5
detailed,5
where,5
collect,5
automatically,5
engineering,5
identify,5
since,5
only,5
successive,5
table,5
pmd,5
www,5
level,5
tween,4
artifacts,4
submissions,4
secret,4
hovemeyer,4
method,4
corresponding,4
instead,4
repository,4
feature,4
loop,4
size,4
prior,4
queries,4
classes,4
habits,4
modification,4
tool,4
so,4
liu,4
all,4
infrastructure,4
look,4
every,4
before,4
13,4
introductory,4
1996,4
understand,4
sun,4
local,4
